IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.222.212.219,4,4,0.00,78.30,29.50
8.219.178.101,4,4,0.00,75.46,28.21
8.219.42.72,4,4,0.00,92.87,21.44
8.222.208.83,4,4,0.00,74.16,20.24
8.219.124.227,4,4,0.00,79.26,20.22
8.219.251.81,4,4,0.00,95.70,17.51
8.219.72.51,4,4,0.00,96.55,17.32
8.222.140.87,4,4,0.00,84.76,11.46
8.219.122.96,4,4,0.00,83.90,9.68
8.219.58.64,4,4,0.00,93.81,8.93
